singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Nuri Serinlendirici,Yasat Meni,0.516,0.823,-4.451,0.0661,0.138,0.0,0.562,0.436,146.989
Ava Max,Call Me Tonight,0.775,0.699,-4.273,0.0421,0.109,0.0,0.0328,0.865,115.0
Beyonce,HEATED,0.785,0.732,-5.724,0.164,0.0636,0.000807,0.265,0.496,110.952
Sam Smith,Perfect,0.549,0.297,-8.789,0.0294,0.234,0.00483,0.373,0.2,95.0
Billy Esteban,Ascension,0.283,0.281,-13.344,0.0346,0.913,0.927,0.248,0.0758,128.204
Beyonce,Blow,0.875,0.434,-7.683,0.091,0.242,0.00147,0.233,0.776,120.067
Halsey,New Americana,0.339,0.707,-5.121,0.0428,0.0113,0.0,0.337,0.359,173.993
Dua Lipa,Homesick,0.426,0.224,-8.683,0.0391,0.948,0.0,0.112,0.399,85.728
Evgeny Grinko,Sail on the Roof,0.229,0.266,-13.064,0.0346,0.812,0.00854,0.12,0.171,138.855
Rauf & Faik,Rubicon,0.715,0.641,-7.467,0.0447,0.275,0.00559,0.169,0.376,155.05
Halsey,Bad At Love,0.675,0.751,-3.539,0.0296,0.0604,0.0,0.0893,0.612,118.384
Beyonce,World Wide Woman,0.485,0.827,-3.707,0.177,0.144,0.0,0.116,0.196,92.161
Rihanna,Never Ending,0.53,0.391,-9.096,0.0286,0.751,6.97e-05,0.187,0.521,82.215
Halsey,Bells in Santa Fe,0.651,0.489,-8.264,0.0315,0.613,0.00644,0.387,0.395,149.986
Dua Lipa,Genesis,0.715,0.572,-6.853,0.0745,0.0244,0.0,0.26,0.429,113.02
Charlie Puth,Marvin Gaye,0.795,0.616,-5.281,0.06,0.417,0.0,0.349,0.815,110.015
Mark Eliyahu,Traveler,0.652,0.77,-7.994,0.0886,0.577,0.0525,0.0911,0.695,104.632
Katy Perry,Hot N Cold,0.706,0.841,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032
Billy Esteban,Gipsy Melody,0.665,0.838,-7.114,0.0342,0.0492,0.924,0.0986,0.516,114.034
Billy Esteban,Mediterranean Sunset,0.682,0.876,-6.453,0.0683,0.221,0.866,0.118,0.628,92.022
