singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mustafa Ceceli,Kucak Kucak,0.77,0.752,-5.723,0.0696,0.0544,0.0,0.115,0.938,102.977
Halsey,Roman Holiday,0.431,0.836,-4.428,0.0395,0.0322,2.34e-05,0.105,0.75,74.473
Beyonce,Hold Up,0.524,0.397,-11.936,0.405,0.745,0.0,0.521,0.552,80.744
Rihanna,Break It Off,0.897,0.738,-5.314,0.228,0.0166,0.0,0.0573,0.798,133.966
Mustafa Ceceli,Bana Uyar,0.763,0.7,-3.777,0.035,0.282,0.0,0.0391,0.977,129.991
Sam Smith,How Do You Sleep?,0.477,0.682,-4.931,0.0925,0.153,0.0,0.0763,0.345,110.567
Nuri Serinlendirici,Sevdim,0.474,0.711,-7.968,0.121,0.587,0.0,0.673,0.691,61.853
Nuri Serinlendirici,Bacara Bilmirem,0.684,0.728,-6.282,0.0588,0.5,2.87e-06,0.193,0.523,90.001
Katy Perry,Act My Age,0.687,0.794,-5.461,0.0907,0.00708,0.0,0.375,0.617,112.056
Nuri Serinlendirici,Avara,0.79,0.94,-5.48,0.0328,0.443,0.00127,0.283,0.971,142.553
Evgeny Grinko,On The Waves,0.288,0.0676,-20.117,0.0347,0.967,0.951,0.0962,0.292,134.9
Mark Eliyahu,Temptation,0.61,0.904,-4.186,0.0672,0.313,0.847,0.106,0.414,88.924
Ava Max,In The Dark,0.735,0.788,-3.057,0.0395,0.182,1.8e-06,0.0709,0.563,126.03
Charlie Puth,Smells Like Me,0.602,0.565,-6.498,0.0498,0.329,0.0,0.0622,0.609,208.038
Sam Smith,My Oasis,0.691,0.474,-8.742,0.0583,0.569,0.000626,0.099,0.381,143.783
Mark Eliyahu,Tehran,0.541,0.799,-6.922,0.0512,0.0372,0.744,0.0798,0.497,168.922
Mark Eliyahu,Coming Back,0.425,0.477,-6.217,0.0401,0.89,0.0548,0.153,0.439,126.544
Halsey,Lilith,0.691,0.772,-7.616,0.26,0.0413,0.0,0.0654,0.47,84.003
Dua Lipa,Lost In Your Light,0.646,0.772,-3.826,0.0564,0.000402,0.0,0.102,0.414,117.097
Maroon 5,It Was Always You,0.613,0.765,-6.582,0.0441,0.082,1.25e-06,0.092,0.299,103.951
Nuri Serinlendirici,Etiraf,0.514,0.528,-7.748,0.0318,0.182,1.26e-05,0.357,0.53,147.99
Maroon 5,Remedy,0.753,0.633,-7.263,0.0594,0.14,0.0,0.392,0.714,132.031
Ava Max,So Am I,0.681,0.657,-4.671,0.0432,0.0748,0.0,0.353,0.628,130.089
Maroon 5,Wipe Your Eyes,0.608,0.909,-3.638,0.0349,0.0516,0.0,0.111,0.617,137.04
Beyonce,Gift from Virgo,0.388,0.265,-12.712,0.0499,0.901,0.0,0.194,0.32,137.24
Rihanna,Consideration,0.883,0.584,-2.102,0.0465,0.0392,4.39e-06,0.0869,0.784,144.975
Billy Esteban,Message,0.0964,0.171,-20.909,0.0357,0.968,0.904,0.111,0.0385,88.5
Sam Smith,Promises,0.725,0.586,-10.11,0.0486,0.163,0.00381,0.0663,0.44,122.966
Maroon 5,Wait,0.655,0.603,-5.014,0.0555,0.0959,0.0,0.107,0.452,126.088
Maroon 5,Lucky Strike,0.674,0.74,-4.517,0.0419,0.000637,0.0,0.111,0.431,143.998
Jacob's Piano,Experience,0.246,0.0829,-21.505,0.0377,0.989,0.899,0.0794,0.0391,80.366
Alan Walker,Somebody Like U,0.616,0.698,-6.496,0.0643,0.153,0.0,0.177,0.187,124.973
Beyonce,Satellites,0.384,0.153,-14.55,0.0324,0.729,0.0,0.116,0.282,109.859
Houssem Amari,Voyage,0.706,0.593,-7.503,0.0401,0.0233,0.721,0.0759,0.242,100.002
Rihanna,Close To You,0.494,0.17,-11.368,0.0337,0.895,0.0,0.139,0.145,80.098
Halsey,honey,0.471,0.857,-5.069,0.0614,0.000499,5.44e-05,0.0682,0.393,160.069
Beyonce,Diva,0.875,0.551,-6.744,0.317,0.0488,0.00728,0.0537,0.861,146.092
Post Malone,Circles,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042
Nuri Serinlendirici,Xanimsan,0.647,0.893,-5.573,0.0672,0.479,0.0028,0.125,0.964,172.006
Billy Esteban,Red Sun,0.568,0.695,-8.502,0.0312,0.373,0.957,0.213,0.508,110.018
Rihanna,The Last Song,0.294,0.595,-5.307,0.0398,0.332,0.0,0.112,0.0996,130.857
Post Malone,Saint-Tropez,0.617,0.684,-3.618,0.0439,0.0545,0.0,0.104,0.295,132.113
Beyonce,Radio,0.605,0.763,-5.949,0.0775,0.129,2.41e-06,0.0839,0.553,135.771
Sam Smith,No God,0.616,0.509,-7.663,0.141,0.406,0.000296,0.109,0.152,89.82
Beyonce,Daddy Lessons,0.643,0.503,-8.37,0.216,0.273,0.0,0.349,0.598,90.886
Mark Eliyahu,Lion of Judea,0.288,0.618,-4.24,0.0374,0.781,0.183,0.0959,0.574,160.913
Dua Lipa,Not My Problem,0.695,0.732,-3.308,0.317,0.442,0.0,0.428,0.802,107.926
Mark Eliyahu,Derinlerde,0.501,0.432,-11.924,0.0297,0.44,0.00534,0.137,0.249,127.956
Beyonce,Ring Off,0.732,0.763,-6.732,0.0729,0.0273,0.0,0.33,0.709,98.011
Maroon 5,If I Never See Your Face Again,0.745,0.867,-2.446,0.0374,0.017,0.0,0.281,0.936,106.006
Sam Smith,La La La,0.468,0.19,-11.138,0.0373,0.919,0.0,0.107,0.326,125.319
Maroon 5,Day Light,0.675,0.245,-18.914,0.957,0.459,0.0,0.217,0.586,145.796
Beyonce,AMERICA HAS A PROBLEM,0.789,0.614,-6.491,0.0579,0.00348,0.00152,0.283,0.108,126.035
Dua Lipa,Levitating,0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977
Evgeny Grinko,Noir,0.0786,0.261,-17.818,0.0451,0.935,0.863,0.126,0.0684,63.772
Billy Esteban,Night In Istanbul,0.699,0.911,-6.321,0.0655,0.212,0.601,0.141,0.923,92.003
Sam Smith,Breaking Hearts,0.689,0.215,-11.371,0.0782,0.639,1.65e-06,0.107,0.227,91.839
Evgeny Grinko,Ice for Aureliano Buendia,0.561,0.416,-16.055,0.0315,0.319,0.94,0.163,0.137,149.012
Halsey,You asked for this,0.303,0.812,-4.95,0.0557,0.0115,0.0,0.371,0.168,139.052
Jacob's Piano,Alone,0.388,0.119,-19.522,0.0356,0.983,0.902,0.106,0.225,60.412
Charlie Puth,Losing My Mind,0.705,0.501,-10.997,0.0618,0.759,0.0761,0.104,0.16,100.042
Alan Walker,Hello World,0.651,0.646,-6.548,0.0408,0.00738,3.19e-05,0.193,0.124,104.139
Rihanna,Lemme Get That,0.704,0.894,-5.731,0.165,0.103,0.000221,0.075,0.723,175.842
Rihanna,Stupid In Love,0.738,0.562,-5.435,0.0347,0.633,0.0,0.102,0.476,127.452
Houssem Amari,Dalia,0.737,0.681,-7.251,0.0891,0.207,0.86,0.0788,0.307,99.989
Mustafa Ceceli,Leyla,0.757,0.889,-5.124,0.0752,0.105,0.0,0.247,0.784,127.982
Sam Smith,Like I Can,0.656,0.627,-6.627,0.0379,0.343,2.17e-05,0.124,0.481,99.933
Mustafa Ceceli,Kendimce,0.626,0.634,-9.226,0.0331,0.0104,0.0551,0.0797,0.739,131.024
Billy Esteban,Night in Bosphorus,0.675,0.676,-9.306,0.0402,0.529,0.948,0.065,0.305,100.017
Katy Perry,Waking Up In Vegas,0.524,0.878,-3.108,0.0346,0.0012,0.0,0.098,0.59,130.989
Post Malone,Otherside,0.652,0.643,-5.667,0.0353,0.318,2.87e-06,0.208,0.109,104.932
Charlie Puth,Patient,0.675,0.604,-6.266,0.193,0.752,0.0,0.111,0.456,168.034
Mustafa Ceceli,17 Milyon,0.569,0.597,-6.602,0.0389,0.727,0.0,0.284,0.496,148.177
Katy Perry,Mind Maze,0.558,0.474,-7.526,0.0571,0.515,2.53e-06,0.0848,0.228,119.941
Mustafa Ceceli,Bekle,0.516,0.693,-5.044,0.0422,0.527,0.0,0.112,0.602,74.997
Post Malone,Feeling Whitney,0.412,0.227,-12.696,0.0359,0.787,4.69e-06,0.282,0.226,80.111
Beyonce,I Miss You,0.718,0.523,-7.181,0.198,0.352,0.00304,0.0909,0.836,167.963
Evgeny Grinko,Where Art Thou,0.273,0.208,-15.643,0.0338,0.984,0.864,0.0994,0.0559,74.839
Mark Eliyahu,I Will Seek For You At Dawn,0.447,0.333,-5.355,0.0304,0.865,0.00402,0.316,0.414,134.249
Beyonce,Love Drought,0.455,0.535,-10.602,0.0426,0.0209,0.64,0.126,0.216,157.01
Nuri Serinlendirici,Urek,0.679,0.52,-10.465,0.0476,0.734,0.0191,0.129,0.352,120.041
Jacob's Piano,Autumn Breeze,0.177,0.0272,-23.632,0.0359,0.966,0.826,0.0975,0.0524,154.136
Billie Eilish,ocean eyes,0.511,0.363,-7.65,0.041,0.816,0.0317,0.084,0.169,144.892
Mustafa Ceceli,Gidersen,0.68,0.801,-8.996,0.0937,0.00183,0.264,0.332,0.736,129.988
Maroon 5,Fortune Teller,0.668,0.757,-6.115,0.0411,0.0501,0.0,0.151,0.41,119.961
Rihanna,Selfish Girl,0.724,0.643,-4.981,0.0837,0.0023,0.00714,0.0633,0.737,82.012
Charlie Puth,How Long,0.845,0.561,-5.253,0.0778,0.211,3.49e-06,0.0383,0.811,109.974
Katy Perry,Hummingbird Heartbeat,0.596,0.896,-2.946,0.0945,0.00241,0.0,0.0913,0.62,121.957
Sam Smith,Restart,0.756,0.749,-6.283,0.0402,0.0434,0.00187,0.116,0.868,114.992
Jacob's Piano,Snowing,0.216,0.0367,-22.93,0.0358,0.988,0.904,0.106,0.15,73.647
Maroon 5,Memories,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05
Sam Smith,Unholy,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121
Post Malone,Cooped Up,0.727,0.839,-4.781,0.184,0.01,3.63e-06,0.177,0.338,95.485
Rihanna,Stay,0.621,0.31,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.893
Billy Esteban,Mediterraneo,0.619,0.903,-8.406,0.0363,0.0501,0.765,0.117,0.241,106.986
Halsey,Without Me,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
Sam Smith,Diamonds,0.653,0.667,-6.764,0.0423,0.154,0.0,0.107,0.556,104.181
Katy Perry,Power,0.559,0.61,-4.717,0.0927,0.0364,1.05e-06,0.0779,0.376,142.146
Charlie Puth,Some Type of Love,0.702,0.595,-6.005,0.0912,0.392,0.0,0.0753,0.366,90.497
Sam Smith,How Will I Know,0.426,0.132,-12.346,0.0787,0.945,0.0,0.0809,0.283,85.039
Charlie Puth,BOY,0.725,0.77,-6.24,0.0539,0.149,2.17e-05,0.0641,0.647,93.009
Rihanna,Umbrella,0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028
Charlie Puth,River,0.775,0.329,-6.962,0.034,0.838,0.0,0.108,0.252,100.034
Beyonce,CHURCH GIRL,0.792,0.919,-5.688,0.276,0.0381,5.1e-06,0.368,0.22,92.028
Jacob's Piano,I Giorni,0.342,0.154,-18.088,0.0516,0.985,0.891,0.106,0.103,123.987
Mark Eliyahu,Krav Shtiya,0.604,0.908,-2.941,0.0383,0.679,0.874,0.0977,0.925,90.009
Rihanna,Let Me,0.753,0.771,-5.833,0.145,0.0541,0.000304,0.133,0.743,108.022
Billy Esteban,Sansula,0.416,0.391,-12.254,0.0299,0.902,0.925,0.121,0.103,104.186
Maroon 5,Who I Am,0.812,0.67,-4.008,0.0901,0.172,3.29e-06,0.253,0.654,125.087
Nuri Serinlendirici,Beyaz Gulum,0.496,0.823,-6.769,0.084,0.0806,8.29e-05,0.201,0.622,159.915
Billy Esteban,Blazena Gora,0.536,0.674,-5.301,0.026,0.702,0.872,0.107,0.426,100.041
Beyonce,FIND YOUR WAY BACK,0.672,0.696,-6.693,0.177,0.2,0.0275,0.0736,0.642,118.742
Sam Smith,Together,0.679,0.624,-4.593,0.468,0.131,1.93e-05,0.0426,0.693,175.179
Billie Eilish,Not My Responsibility,0.468,0.13,-18.031,0.0571,0.454,0.927,0.0819,0.0362,115.039
Maroon 5,Moves Like Jagger,0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047
Nuri Serinlendirici,Gozleyirem,0.535,0.602,-5.517,0.0418,0.674,1.01e-05,0.109,0.586,82.983
Billie Eilish,i love you,0.421,0.131,-18.435,0.0382,0.952,0.00453,0.109,0.12,137.446
Jacob's Piano,A Rainy Journey,0.528,0.0891,-22.047,0.0372,0.979,0.965,0.114,0.065,130.827
Billie Eilish,party favor,0.826,0.188,-12.181,0.0883,0.882,2.83e-06,0.103,0.205,130.022
Rihanna,Woo,0.42,0.466,-5.298,0.0326,0.0546,0.00389,0.298,0.185,115.004
Sam Smith,Love Goes,0.459,0.232,-12.434,0.0768,0.812,0.0582,0.154,0.204,145.137
Jacob's Piano,Emotions,0.295,0.0591,-24.045,0.0348,0.988,0.894,0.114,0.0657,73.17
Rihanna,Desperado,0.685,0.61,-5.221,0.0439,0.323,0.0,0.102,0.323,94.384
Mustafa Ceceli,Askersin,0.479,0.648,-7.264,0.0643,0.788,4.38e-06,0.135,0.51,99.312
Alan Walker,Sing Me To Sleep,0.474,0.622,-6.381,0.061,0.0129,3.82e-06,0.327,0.158,176.062
Jacob's Piano,O Come All Ye Faithful,0.31,0.186,-16.241,0.0412,0.983,0.939,0.105,0.198,140.564
Dua Lipa,Garden,0.46,0.828,-4.005,0.148,0.00475,0.0,0.141,0.419,151.548
Jacob's Piano,Moments,0.573,0.0982,-22.599,0.0484,0.988,0.925,0.102,0.133,104.962
Halsey,Castle,0.626,0.571,-7.461,0.0327,0.25,0.0,0.0946,0.164,129.959
Maroon 5,Closure,0.748,0.813,-6.687,0.0704,0.183,0.0518,0.424,0.445,116.962
Beyonce,Bow Down,0.395,0.866,-7.544,0.128,0.0332,0.0,0.432,0.377,141.577
Dua Lipa,Future Nostalgia,0.875,0.813,-4.502,0.0579,0.00618,0.0,0.321,0.859,114.993
Maroon 5,Animals,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868
Beyonce,ALIEN SUPERSTAR,0.545,0.641,-6.398,0.0998,0.00453,6.59e-05,0.171,0.464,121.892
Charlie Puth,As You Are,0.819,0.523,-6.202,0.0449,0.361,0.0,0.0716,0.699,113.952
Jacob's Piano,Psithurism,0.408,0.069,-21.737,0.0316,0.994,0.895,0.0969,0.183,71.305
Beyonce,PLASTIC OFF THE SOFA,0.618,0.712,-8.246,0.114,0.14,4.53e-06,0.575,0.305,97.057
Halsey,Girl is a Gun,0.639,0.873,-4.64,0.0395,0.00478,1.16e-05,0.125,0.704,150.01
Post Malone,Jonestown,0.38,0.454,-10.271,0.0362,0.755,0.623,0.263,0.288,77.592
Alan Walker,Lovesick,0.585,0.555,-4.694,0.0304,0.00539,1.73e-06,0.354,0.162,122.941
Nuri Serinlendirici,Kolge,0.846,0.835,-5.107,0.175,0.0413,5.32e-06,0.0576,0.553,105.981
Katy Perry,Dark Horse,0.647,0.585,-6.123,0.0512,0.00314,0.0,0.165,0.353,131.934
Billy Esteban,Eagea,0.657,0.877,-5.606,0.0284,0.0156,0.864,0.561,0.629,114.021
Beyonce,Ave Maria,0.35,0.403,-9.57,0.0279,0.786,0.0,0.12,0.201,104.957
Jacob's Piano,Balcony Birds,0.28,0.106,-22.744,0.0374,0.986,0.919,0.112,0.068,120.076
Ava Max,My Head & My Heart,0.614,0.934,-3.709,0.07,0.0697,0.0,0.121,0.436,116.001
Beyonce,I Was Here,0.525,0.627,-6.59,0.0335,0.431,0.0,0.0927,0.235,111.026
Beyonce,Jealous,0.452,0.54,-10.087,0.229,0.122,0.00462,0.0882,0.227,133.774
Rihanna,Push Up On Me,0.791,0.88,-5.398,0.06,0.0142,0.119,0.033,0.641,119.939
Katy Perry,Choose Your Battles,0.712,0.838,-5.912,0.0859,0.0246,1.01e-06,0.0646,0.281,104.014
Jacob's Piano,Reverie,0.426,0.077,-23.816,0.0343,0.974,0.919,0.0949,0.084,127.13
Billy Esteban,Katerina,0.747,0.676,-5.655,0.0539,0.0755,0.786,0.128,0.434,108.024
Charlie Puth,No More Drama,0.555,0.648,-6.539,0.296,0.693,0.000644,0.128,0.641,195.887
Katy Perry,Thinking Of You,0.431,0.803,-4.459,0.0364,0.00167,0.0,0.331,0.309,147.048
Beyonce,BLACK PARADE,0.824,0.555,-5.817,0.05,0.00337,6.42e-06,0.217,0.0611,120.002
Halsey,Ghost,0.57,0.606,-8.085,0.129,0.0529,0.000727,0.134,0.212,95.038
Katy Perry,California Gurls,0.788,0.753,-3.71,0.0536,0.0038,0.0,0.18,0.403,125.005
Gazapizm,Argo,0.833,0.901,-3.293,0.248,0.103,0.0,0.105,0.549,119.942
Post Malone,Money Made Me Do It,0.734,0.429,-6.511,0.16,0.305,0.0,0.0659,0.372,83.021
Rauf & Faik,Animal,0.712,0.626,-7.535,0.0456,0.132,0.000139,0.907,0.194,130.032
Rihanna,Willing To Wait,0.537,0.443,-8.407,0.107,0.0107,6.99e-05,0.166,0.281,84.597
Katy Perry,Save As Draft,0.591,0.566,-7.227,0.0487,0.349,0.0,0.109,0.0474,131.76
Dharia,Tara Rita,0.665,0.851,-4.348,0.289,0.0155,8.69e-06,0.589,0.523,108.074
Maroon 5,Runaway,0.662,0.84,-3.696,0.03,0.00903,0.0,0.147,0.591,99.988
Halsey,Strangers,0.69,0.784,-4.724,0.056,0.01,4.08e-05,0.22,0.284,109.969
Alan Walker,Shut Up,0.378,0.614,-3.809,0.0761,0.13,0.0,0.309,0.451,175.937
Rihanna,Where Have You Been,0.719,0.847,-6.34,0.0916,0.00201,0.0204,0.221,0.444,127.963
Charlie Puth,If You Leave Me Now,0.362,0.268,-7.757,0.0399,0.909,0.0,0.15,0.394,81.912
Ava Max,Sweet But Psycho,0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002
Katy Perry,Daisies,0.639,0.546,-5.382,0.0407,0.0837,0.0,0.122,0.149,122.179
Billy Esteban,Awakening,0.593,0.815,-9.171,0.0392,0.219,0.877,0.111,0.6,95.004
Sam Smith,Midnight Train,0.713,0.597,-7.117,0.0692,0.377,2.86e-05,0.179,0.399,96.06
Rauf & Faik,Wonderful,0.824,0.488,-7.153,0.0483,0.555,0.000234,0.0767,0.37,143.985
Evgeny Grinko,Valse,0.589,0.256,-13.584,0.0327,0.982,0.898,0.0934,0.201,95.564
Rihanna,Rush,0.751,0.822,-4.533,0.164,0.001,0.0022,0.259,0.801,96.967
Billy Esteban,Sama Moma,0.632,0.599,-11.182,0.0352,0.52,0.955,0.11,0.437,116.0
Billy Esteban,The Gates of Istanbul,0.692,0.698,-8.431,0.033,0.0451,0.92,0.305,0.238,115.017
Beyonce,Signs,0.447,0.395,-9.828,0.225,0.153,3.98e-06,0.133,0.411,76.758
Charlie Puth,Through It All,0.559,0.381,-8.54,0.0355,0.76,0.0,0.0775,0.224,119.116
Alan Walker,Red Nexus Rising,0.389,0.629,-10.449,0.0356,0.127,0.944,0.128,0.0985,59.925
Katy Perry,This Is How We Do,0.69,0.636,-6.028,0.0457,0.0203,0.0,0.147,0.799,96.002
Evgeny Grinko,Jane Maryam,0.393,0.0984,-19.02,0.0445,0.984,0.921,0.122,0.139,96.939
Charlie Puth,Charlie Be Quiet!,0.753,0.662,-4.25,0.0702,0.205,3.66e-06,0.0851,0.466,94.958
Maroon 5,Cold,0.693,0.717,-6.346,0.107,0.14,0.0,0.0464,0.412,99.836
Halsey,Now Or Never,0.67,0.585,-4.861,0.0354,0.107,1.11e-06,0.131,0.447,110.03
Katy Perry,Into Me You See,0.416,0.254,-9.998,0.036,0.815,0.0,0.0936,0.202,111.746
Rihanna,Rehab,0.583,0.792,-5.894,0.0533,0.00321,4.92e-05,0.315,0.397,80.055
Mustafa Ceceli,Rahat Rahat,0.665,0.89,-4.855,0.0352,0.0864,4.46e-05,0.151,0.703,127.985
Billy Esteban,Samuil,0.572,0.844,-8.583,0.0311,0.167,0.687,0.107,0.506,125.021
Evgeny Grinko,See You Tomorrow,0.639,0.028,-29.729,0.039,0.971,0.397,0.116,0.4,130.02
Nuri Serinlendirici,Nagilimsan,0.789,0.792,-5.491,0.105,0.03,0.0431,0.341,0.876,94.008
Hiss,Monoton,0.661,0.756,-7.338,0.0253,0.00142,0.000356,0.319,0.702,130.005
Billy Esteban,Petra,0.531,0.678,-8.626,0.0406,0.357,0.94,0.267,0.904,113.404
Billie Eilish,GOLDWING,0.654,0.303,-13.943,0.126,0.755,0.159,0.0957,0.168,160.095
Billie Eilish,all the good girls go to hell,0.726,0.444,-8.922,0.372,0.283,0.143,0.177,0.569,185.044
Sam Smith,Nirvana,0.501,0.578,-8.108,0.0475,0.528,0.00241,0.101,0.393,97.808
Sam Smith,Not In That Way,0.476,0.152,-12.457,0.0369,0.939,0.0,0.126,0.288,71.395
Rihanna,Cheers,0.576,0.912,-3.623,0.0403,0.0182,0.0,0.293,0.727,79.981
Billie Eilish,NDA,0.765,0.373,-9.921,0.0713,0.341,0.525,0.112,0.554,85.016
Halsey,The Lighthouse,0.324,0.614,-6.217,0.0338,0.137,0.000633,0.305,0.295,123.145
Beyonce,NILE,0.484,0.457,-9.458,0.204,0.738,0.0,0.536,0.342,83.493
Evgeny Grinko,"Grass, Dew and Marmalade",0.202,0.117,-17.205,0.039,0.973,0.941,0.0937,0.0393,85.351
Rihanna,We Ride,0.394,0.744,-5.465,0.276,0.00175,0.0,0.308,0.772,78.696
Post Malone,Waiting For A Miracle,0.491,0.278,-11.29,0.0424,0.8,1.99e-06,0.111,0.0718,127.136
Beyonce,XO,0.47,0.793,-8.929,0.26,0.164,1.31e-06,0.313,0.216,170.1
Mustafa Ceceli,Gizli,0.539,0.712,-5.18,0.0389,0.289,5.47e-06,0.292,0.567,81.532
Katy Perry,Tucked,0.775,0.68,-5.155,0.038,0.00544,0.0,0.047,0.929,123.005
Maroon 5,This Love,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051
Ava Max,One Of Us,0.624,0.841,-3.868,0.0355,0.0131,0.0,0.235,0.512,144.964
Rihanna,Lost In Paradise,0.479,0.779,-3.698,0.0449,0.0639,0.0,0.204,0.307,75.961
Mustafa Ceceli,Kalpten,0.651,0.614,-6.504,0.0358,0.449,0.0,0.197,0.737,132.009
Post Malone,Wrapped Around Your Finger,0.744,0.628,-5.435,0.0287,0.0493,0.0,0.317,0.539,119.948
Beyonce,ALL UP IN YOUR MIND,0.744,0.577,-7.228,0.0631,0.0672,3.06e-06,0.178,0.0805,135.869
Katy Perry,Who Am I Living For?,0.723,0.645,-6.392,0.0402,0.0324,0.0,0.131,0.487,119.989
Mark Eliyahu,Thunder,0.0905,0.243,-15.292,0.051,0.382,0.898,0.111,0.0255,74.082
Mustafa Ceceli,Severim Ben Seni,0.598,0.735,-5.639,0.0484,0.656,0.0,0.263,0.933,82.02
Rihanna,Diamonds,0.564,0.71,-4.92,0.0461,0.00125,0.0,0.109,0.393,91.972
Charlie Puth,Left and Right,0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
Evgeny Grinko,Wind Brought,0.282,0.0663,-24.072,0.0448,0.989,0.93,0.0985,0.155,209.557
Jacob's Piano,Pern,0.215,0.0469,-25.495,0.0313,0.992,0.885,0.111,0.0915,77.412
Beyonce,If I Were A Boy,0.632,0.518,-6.126,0.0313,0.107,0.0,0.354,0.427,90.007
Houssem Amari,La Notte,0.651,0.523,-12.174,0.0482,0.124,0.0572,0.268,0.278,100.04
Maroon 5,Coming Back For You,0.644,0.866,-5.687,0.0341,0.0121,0.0,0.0719,0.39,114.927
Mark Eliyahu,Caravan,0.733,0.44,-11.197,0.0429,0.481,0.455,0.143,0.546,125.997
Evgeny Grinko,Man In Old Rumpled Hat,0.72,0.0875,-21.929,0.034,0.83,0.934,0.106,0.0723,120.034
Dua Lipa,Pretty Please,0.906,0.474,-6.124,0.194,0.0311,5.5e-06,0.286,0.656,106.976
Nuri Serinlendirici,O Gozel Xanimdi,0.611,0.871,-7.902,0.067,0.0952,0.000154,0.101,0.933,172.492
Jacob's Piano,Snowdrops,0.396,0.0665,-23.894,0.0428,0.981,0.929,0.107,0.0667,131.457
Mustafa Ceceli,Es,0.342,0.706,-4.255,0.0898,0.723,0.0,0.109,0.532,92.187
Katy Perry,Last Friday Night,0.652,0.812,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,126.023
Evgeny Grinko,Lullaby for Erik,0.453,0.0591,-27.201,0.033,0.988,0.952,0.0788,0.106,69.913
Gazapizm,Yok,0.632,0.843,-5.716,0.1,0.397,0.0,0.132,0.339,129.971
Jacob's Piano,Curabitur,0.362,0.178,-24.859,0.0361,0.967,0.906,0.103,0.153,137.938
Dua Lipa,Boys Will Be Boys,0.768,0.486,-5.954,0.0353,0.408,0.0,0.098,0.519,125.021
Rihanna,Girl Like Me,0.447,0.574,-6.993,0.12,0.274,0.0,0.0777,0.633,82.122
Rihanna,Numb,0.717,0.697,-5.771,0.137,0.014,0.00125,0.131,0.379,129.042
Dua Lipa,Cool,0.469,0.785,-4.015,0.0664,0.133,1.55e-06,0.0931,0.79,89.719
Nuri Serinlendirici,Oyna-Oyna,0.767,0.905,-6.153,0.105,0.0301,0.00883,0.102,0.842,105.022
Mustafa Ceceli,Hikaye,0.635,0.843,-6.668,0.0451,0.662,2.04e-06,0.109,0.679,156.062
Nuri Serinlendirici,Menimsen,0.455,0.747,-5.932,0.0562,0.483,0.0,0.283,0.515,87.497
Sam Smith,Say It First,0.566,0.407,-10.293,0.0914,0.766,0.000185,0.111,0.156,119.781
Billy Esteban,Obsession,0.567,0.778,-5.333,0.0268,0.471,0.929,0.802,0.53,139.999
Billy Esteban,My Freedom,0.672,0.891,-6.853,0.032,0.145,0.792,0.0969,0.733,120.001
Billy Esteban,Desert Girl,0.778,0.905,-6.294,0.0743,0.0233,0.777,0.0361,0.386,115.009
Maroon 5,Give A Little More,0.753,0.824,-4.301,0.0385,0.000937,0.00018,0.141,0.937,117.95
Ava Max,Hold Up,0.745,0.75,-3.391,0.0687,0.0263,1.05e-06,0.155,0.757,117.972
Maroon 5,She Will Be Loved,0.651,0.663,-5.569,0.0281,0.228,0.0,0.0994,0.465,102.0
Post Malone,Insane,0.645,0.671,-7.208,0.0459,0.0597,8e-06,0.11,0.365,82.546
Nuri Serinlendirici,Birtanem,0.66,0.769,-6.958,0.198,0.0436,0.0,0.318,0.688,90.004
Halsey,"I am not a woman, I'm a God",0.517,0.7,-6.568,0.0452,0.00375,0.0385,0.0634,0.518,179.986
Evgeny Grinko,Separation,0.334,0.157,-14.314,0.0404,0.936,0.812,0.356,0.0911,68.573
Charlie Puth,Slow It Down,0.733,0.754,-3.392,0.0593,0.264,0.0,0.131,0.849,115.024
Halsey,Is There Somewhere,0.507,0.553,-7.62,0.046,0.126,0.000175,0.087,0.181,130.072
Halsey,Gasoline,0.731,0.58,-7.328,0.0399,0.223,0.0,0.129,0.319,119.997
Sam Smith,Another One,0.497,0.618,-7.351,0.0932,0.206,0.0,0.403,0.223,123.305
Jacob's Piano,A Simple Melody,0.314,0.0492,-23.077,0.0466,0.992,0.927,0.0978,0.224,77.898
Dua Lipa,Good in Bed,0.68,0.701,-5.001,0.0917,0.138,0.000191,0.168,0.649,94.06
Maroon 5,Lost,0.766,0.706,-6.553,0.16,0.223,0.00028,0.064,0.766,142.989
Dua Lipa,IDGAF,0.836,0.544,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028
